,f1_train,f1_test,accuracy_train,accuracy_test,sigma,num_epoch,num_sets,kmax,mf,num_input_units,output_units
107,0.22843820692517186,0.23138951484227227,0.49824999999999997,0.4974,0.001,50,7,50,semicircle,10,2
108,0.18686054381137746,0.18177587165285808,0.5176999999999999,0.515,0.01,15,3,5,tri,10,2
109,0.0,0.0,0.5,0.5,0.01,15,3,5,gaussian,10,2
110,0.3273745931175242,0.32823531682453233,0.4845,0.48999999999999994,0.01,15,3,5,semicircle,10,2
111,0.058459222921666235,0.05456591967660769,0.49670000000000003,0.4981999999999999,0.01,15,3,10,tri,10,2
112,0.02489851150202977,0.019117647058823527,0.5029,0.5016,0.01,15,3,10,gaussian,10,2
113,0.3238964624024352,0.3282290076818657,0.4992,0.5052000000000001,0.01,15,3,10,semicircle,10,2
114,0.32299361467337623,0.3375199910061644,0.5319499999999999,0.5362,0.01,15,3,25,tri,10,2
115,0.03349408154318282,0.027758007117437727,0.50505,0.5032,0.01,15,3,25,gaussian,10,2
116,0.3285497488203393,0.31636202865606755,0.47575,0.46240000000000003,0.01,15,3,25,semicircle,10,2
117,0.31546905461373054,0.3121962722477915,0.5317000000000001,0.5306,0.01,15,3,50,tri,10,2
118,0.0,0.0,0.5,0.5,0.01,15,3,50,gaussian,10,2
119,0.3285497488203393,0.31636202865606755,0.47575,0.46240000000000003,0.01,15,3,50,semicircle,10,2
120,0.2595745866081091,0.2554843294216612,0.5235000000000001,0.5244,0.01,15,5,5,tri,10,2
121,0.4780821138851298,0.4828525446747377,0.4756,0.47919999999999996,0.01,15,5,5,gaussian,10,2
122,0.5261764446942816,0.5325009238983085,0.50825,0.515,0.01,15,5,5,semicircle,10,2
123,0.40756182398035545,0.4000090372762459,0.5474500000000001,0.542,0.01,15,5,10,tri,10,2
124,0.5405600718051804,0.5353146683052572,0.655,0.6536000000000001,0.01,15,5,10,gaussian,10,2
125,0.2621913741131404,0.26422218556716304,0.50405,0.5022,0.01,15,5,10,semicircle,10,2
126,0.5145473927555815,0.506232544870738,0.5666499999999999,0.5582,0.01,15,5,25,tri,10,2
127,0.5299986128213707,0.523493853178669,0.6533,0.6519999999999999,0.01,15,5,25,gaussian,10,2
128,0.23775016025601065,0.2470697853849549,0.52205,0.5296000000000001,0.01,15,5,25,semicircle,10,2
129,0.4247626558330636,0.41829176303752613,0.5516,0.5422,0.01,15,5,50,tri,10,2
130,0.527619119509436,0.5338815791819547,0.6651999999999999,0.6689999999999999,0.01,15,5,50,gaussian,10,2
131,0.1431757964597536,0.1506066909574991,0.5159,0.5186,0.01,15,5,50,semicircle,10,2
132,0.268278410542334,0.27122612806324087,0.51925,0.5216000000000001,0.01,15,7,5,tri,10,2
133,0.4780821138851298,0.4828525446747377,0.4756,0.47919999999999996,0.01,15,7,5,gaussian,10,2
134,0.5070565795115247,0.49847599308517154,0.48724999999999996,0.4744,0.01,15,7,5,semicircle,10,2
135,0.34369926661848466,0.33220077271606996,0.5279499999999999,0.5206000000000001,0.01,15,7,10,tri,10,2
136,0.5405600718051804,0.5353146683052572,0.655,0.6536000000000001,0.01,15,7,10,gaussian,10,2
137,0.3630451428278859,0.35436297883612783,0.48365,0.476,0.01,15,7,10,semicircle,10,2
138,0.35141007044553946,0.3573701976978535,0.5321,0.5307999999999999,0.01,15,7,25,tri,10,2
139,0.5299986128213707,0.523493853178669,0.6533,0.6519999999999999,0.01,15,7,25,gaussian,10,2
140,0.23254378900261488,0.24188648490682665,0.49660000000000004,0.5042000000000001,0.01,15,7,25,semicircle,10,2
141,0.44119833038162487,0.4353878146715175,0.5492,0.5444000000000001,0.01,15,7,50,tri,10,2
142,0.527619119509436,0.5338815791819547,0.6651999999999999,0.6689999999999999,0.01,15,7,50,gaussian,10,2
143,0.2232884117964251,0.24306068953510315,0.49665,0.5054000000000001,0.01,15,7,50,semicircle,10,2
144,0.18686054381137746,0.18177587165285808,0.5176999999999999,0.515,0.01,25,3,5,tri,10,2
145,0.0,0.0,0.5,0.5,0.01,25,3,5,gaussian,10,2
146,0.3273745931175242,0.32823531682453233,0.4845,0.48999999999999994,0.01,25,3,5,semicircle,10,2
147,0.06269902259761262,0.05863012413351902,0.4965,0.4976,0.01,25,3,10,tri,10,2
148,0.02489851150202977,0.019117647058823527,0.5029,0.5016,0.01,25,3,10,gaussian,10,2
149,0.33810939032617265,0.34856152098022053,0.5000500000000001,0.507,0.01,25,3,10,semicircle,10,2
150,0.32299361467337623,0.3375199910061644,0.5319499999999999,0.5362,0.01,25,3,25,tri,10,2
151,0.03349408154318282,0.027758007117437727,0.50505,0.5032,0.01,25,3,25,gaussian,10,2
152,0.3285497488203393,0.31636202865606755,0.47575,0.46240000000000003,0.01,25,3,25,semicircle,10,2
153,0.3235874397765068,0.32440781853458034,0.53495,0.5378000000000001,0.01,25,3,50,tri,10,2
154,0.0,0.0,0.5,0.5,0.01,25,3,50,gaussian,10,2
155,0.3285497488203393,0.31636202865606755,0.47575,0.46240000000000003,0.01,25,3,50,semicircle,10,2
156,0.2595745866081091,0.2554843294216612,0.5235000000000001,0.5244,0.01,25,5,5,tri,10,2
157,0.4780821138851298,0.4828525446747377,0.4756,0.47919999999999996,0.01,25,5,5,gaussian,10,2
158,0.5261764446942816,0.5325009238983085,0.50825,0.515,0.01,25,5,5,semicircle,10,2
159,0.40756182398035545,0.4000090372762459,0.5474500000000001,0.542,0.01,25,5,10,tri,10,2
160,0.5405600718051804,0.5353146683052572,0.655,0.6536000000000001,0.01,25,5,10,gaussian,10,2
161,0.2621913741131404,0.26422218556716304,0.50405,0.5022,0.01,25,5,10,semicircle,10,2
162,0.5145473927555815,0.506232544870738,0.5666499999999999,0.5582,0.01,25,5,25,tri,10,2
163,0.5299986128213707,0.523493853178669,0.6533,0.6519999999999999,0.01,25,5,25,gaussian,10,2
164,0.23775016025601065,0.2470697853849549,0.52205,0.5296000000000001,0.01,25,5,25,semicircle,10,2
165,0.4247626558330636,0.41829176303752613,0.5516,0.5422,0.01,25,5,50,tri,10,2
166,0.527619119509436,0.5338815791819547,0.6651999999999999,0.6689999999999999,0.01,25,5,50,gaussian,10,2
